YYYYMMDD,HH,DD,FH,T,SQ,Q,EUR
0.301,-1.0,-0.11111111111111116,0.09999999999999998,-0.54,-0.5,-1.0,7
0.301,-0.9166666666666666,-0.05555555555555558,0.19999999999999996,-0.54,-0.5,-1.0,7
0.301,-0.8333333333333334,0.5,0.19999999999999996,-0.85,-0.5,-1.0,7
0.301,-0.75,0.4444444444444444,0.0,-0.88,-0.5,-1.0,7
0.301,-0.6666666666666667,0.2777777777777777,-0.10000000000000003,-0.91,-0.5,-1.0,7
0.301,-0.5833333333333333,0.16666666666666674,-0.10000000000000003,-0.97,-0.5,-1.0,7
0.301,-0.5,0.05555555555555558,-0.10000000000000003,-1.06,-0.5,-0.98,7
0.301,-0.41666666666666663,-0.05555555555555558,0.0,-0.95,0.5,-0.6699999999999999,8
0.301,-0.33333333333333337,0.05555555555555558,0.19999999999999996,-0.86,1.3,-0.16000000000000003,8
0.301,-0.25,-0.05555555555555558,0.29999999999999993,-0.77,0.5,-0.06999999999999995,8
0.301,-0.16666666666666663,-0.11111111111111116,0.4,-0.62,1.5,0.6299999999999999,7
0.301,-0.08333333333333337,-0.05555555555555558,0.4,-0.55,1.3,0.6599999999999999,7
0.301,0.0,-0.05555555555555558,0.5,-0.59,-0.5,-0.6,7
0.301,0.08333333333333326,-0.05555555555555558,0.4,-0.59,-0.3,-0.52,7
0.301,0.16666666666666674,0.0,0.29999999999999993,-0.62,-0.5,-0.83,7
0.301,0.25,-0.05555555555555558,0.29999999999999993,-0.54,-0.5,-0.89,7
0.301,0.33333333333333326,-0.11111111111111116,0.4,-0.54,-0.5,-0.91,7
0.301,0.41666666666666674,-0.11111111111111116,0.4,-0.6,-0.5,-0.99,8
0.301,0.5,-0.11111111111111116,0.19999999999999996,-0.58,-0.5,-1.0,8
0.301,0.5833333333333333,-0.16666666666666663,0.29999999999999993,-0.61,-0.5,-1.0,8
0.301,0.6666666666666667,-0.16666666666666663,0.19999999999999996,-0.6,-0.5,-1.0,8
0.301,0.75,-0.2222222222222222,0.19999999999999996,-0.57,-0.5,-1.0,7
0.301,0.8333333333333333,-0.16666666666666663,0.19999999999999996,-0.55,-0.5,-1.0,7
0.301,0.9166666666666667,0.11111111111111116,0.19999999999999996,-0.86,-0.5,-1.0,7
0.302,-1.0,0.0,0.09999999999999998,-0.88,-0.5,-1.0,7
0.302,-0.9166666666666666,-0.11111111111111116,0.09999999999999998,-0.89,-0.5,-1.0,7
